Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,"(n = 1,993)",,"(n = 1,387)",,(n = 606),,"(n = 1,940)",,"(n = 1,661)",,(n = 279),,"(n = 2,399)",,"(n = 1,847)",,(n = 552),,"(n = 2,051)",,"(n = 1,640)",,(n = 411),,"(n = 2,969)",,"(n = 2,103)",,(n = 866),,"(n = 2,721)",,"(n = 2,156)",,(n = 565),
,(average),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Fertilizer,2.5,1.2,2.7,1.1,2,1.1,1.8,1.5,1.9,1.5,1.7,1.2,2.6,1.2,2.7,1.2,2,1,2.5,1.2,2.7,1.1,1.9,1.2,3.8,1.9,4.1,1.8,3.3,1.8,1.8,1,2.1,0.8,1.7,0.8
Herbicide,0.8,0.8,0.9,0.8,0.8,0.8,0.6,0.7,0.6,0.7,0.7,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1,0.9,1.6,0.7,1.5,0.7,1.6,0.7,1,0.8,1.1,0.8,1,0.8
Insecticide,2.5,1.6,2.6,1.7,2.1,1.3,2.6,1.8,2.6,1.8,2.3,1.5,2.2,1.7,2.3,1.7,2.1,1.7,2.2,1.8,2.2,1.8,2,1.6,2.8,2,2.9,2,2.7,1.9,1.9,1.4,2.2,1.4,1.9,1.2
Fungicide,1.5,0.9,1.5,0.8,1.7,1.3,1.4,0.8,1.4,0.8,1.3,0.4,0.2,0.6,0.3,0.7,0.1,0.4,0.3,0.7,0.3,0.7,0.2,0.7,1.4,0.8,1.5,0.9,1.4,0.7,0.2,0.6,0.3,0.6,0.2,0.5
Rodenticide,1.6,1.1,1.5,0.9,1.9,1.6,1.7,1.2,1.6,1.1,2,1.6,0.3,0.8,0.2,0.6,0.5,1.3,0.4,1.1,0.3,0.9,0.7,1.6,1.5,1,1.5,1,1.4,0.9,0.4,0.8,0.4,0.8,0.5,0.9
Molluscicide,1.4,0.7,1.4,0.7,1.3,0.6,1.2,0.5,1.2,0.5,1.2,0.5,0.6,0.8,0.6,0.8,0.4,0.7,0.7,0.8,0.7,0.8,0.6,0.8,1.5,0.7,1.5,0.7,1.4,0.7,0.9,0.8,1.1,0.8,0.8,0.7
Other pesticide,1.1,0.3,1,0,2,0,1.1,0.3,1,0,1.3,0.4,0,0.1,0,0.1,0,0.1,0,0,0,0,0,0,1.4,0.5,2,0,1,0,0,0.1,0,0.1,0,0
Ilocos Norte,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 57),,(n = 42),,(n = 15),,(n = 56),,(n = 54),,(n = 2),,(n = 60),,(n = 57),,(n = 3),,(n = 33),,(n = 33),,(n = 0),,(n = 60),,(n = 48),,(n = 12),,(n = 37),,(n = 37),,(n = 0),
,(average),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Fertilizer,3.3,1,3.6,0.9,2.5,0.8,1.7,1.8,1.7,1.8,2,0,3.2,0.5,3.2,0.5,3,0,3.6,0.7,3.6,0.7,0,0,4.8,1.7,4.9,1.7,4.4,1.5,0.9,1,1.5,0.8,0,0
Herbicide,0.2,0.5,0.2,0.5,0.1,0.3,0,0.1,0,0.1,0,0,0.3,0.5,0.3,0.5,0,0,0,0.2,0,0.2,0,0,1.3,0.5,1.2,0.4,1.5,0.5,0.2,0.4,0.3,0.5,0,0
Insecticide,1.3,0.5,1.3,0.5,1.2,0.4,1,0,1,0,1,0,0.7,0.7,0.7,0.7,0.7,0.6,0.4,0.5,0.4,0.5,0,0,1.3,0.7,1.3,0.7,1.3,0.7,0.5,0.7,0.8,0.8,0,0
Fungicide,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.1,0.4,0.2,0.6,0,0
Rodenticide,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0,0
Molluscicide,1,0,1,0,0,0,1,0,1,0,0,0,0.3,0.5,0.2,0.4,1,0,0.2,0.4,0.2,0.4,0,0,1.1,0.2,1.1,0.2,1,0,0.5,0.6,0.8,0.6,0,0
Other pesticide,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pangasinan,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 147),,(n = 96),,(n = 51),,(n = 147),,(n = 147),,(n = 0),,(n = 149),,(n = 120),,(n = 29),,(n = 89),,(n = 87),,(n = 2),,(n = 151),,(n = 104),,(n = 47),,(n = 113),,(n = 113),,(n = 0),
,(average),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Fertilizer,2.8,1.2,3.1,1.2,2.2,0.9,1.5,1.7,1.5,1.7,0,0,3,1.2,3.2,1.1,2.1,1.1,2.8,0.8,2.8,0.8,2.5,0.7,4.9,1.8,5.4,1.5,3.9,2.1,1.7,1.2,2.2,0.8,0,0
Herbicide,0.6,0.7,0.6,0.7,0.5,0.8,0.3,0.7,0.3,0.7,0,0,0.7,0.7,0.8,0.7,0.7,0.9,0.6,0.7,0.6,0.7,0.5,0.7,1.4,0.6,1.4,0.6,1.6,0.7,0.8,0.8,1,0.8,0,0
Insecticide,2.2,1.4,2.3,1.5,1.8,1,1.9,1,1.9,1,0,0,1.8,1.7,2,1.8,1,1.4,1.6,1.2,1.5,1.1,3.5,0.7,2.2,1.2,2.3,1.2,1.9,1,1.5,1.4,2,1.2,0,0
Fungicide,2,0.9,2.5,0.8,1.4,0.5,1.8,1.4,1.8,1.4,0,0,0.2,0.5,0.2,0.6,0.1,0.4,0,0.3,0,0.3,0,0,1.2,0.4,1.2,0.4,1.1,0.4,0.3,0.6,0.4,0.6,0,0
Rodenticide,1.2,0.4,1.2,0.4,0,0,1,0,1,0,0,0,0,0.1,0,0.1,0,0.2,0.1,0.3,0.1,0.3,0,0,1.2,0.4,1.1,0.4,1.5,0.7,0.1,0.3,0.1,0.4,0,0
Molluscicide,1.1,0.3,1.1,0.3,1,0,1.3,0.5,1.3,0.5,0,0,0.7,1,0.9,1,0.2,0.4,0.8,0.8,0.8,0.9,0.5,0.7,1.3,0.5,1.3,0.5,1.3,0.5,1,0.9,1.3,0.8,0,0
Other pesticide,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apayao,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 60),,(n = 47),,(n = 13),,(n = 60),,(n = 56),,(n = 4),
,(average),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Fertilizer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,1.7,5.6,1.7,5.3,1.8,1.6,0.8,1.6,0.8,1.3,0.5
Herbicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.5,1.4,0.5,1.2,0.4,0.7,0.6,0.8,0.6,0.3,0.5
Insecticide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0.7,1.7,0.7,1.4,0.8,1.3,0.9,1.3,0.9,1.5,0.6
Fungicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.4,1.2,0.4,1,0,0.2,0.4,0.2,0.4,0,0
Rodenticide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.1,0.3,0.1,0.3,0,0
